Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
[ET001] Plus After On Ignition On Computer,Ignition,22200E,{A:0},0,0,,7E0
[ET018] On Request Air conditioner,AC req,222229,{A:0},0,0,,7E0
[ET038] Engine,Engine,222010,A,0,0,,7E0
[ET041] Forward Rel. Gearboxes,FR Gearboxes,222C04,(A&7),0,0,,7E0
[ET043] Speed ​​Adjustment,Speed adj,222079,{A:3},0,0,,7E0
[ET115] Signal. Pre-start lamp Preheating,Glow lamp,222823,{A:0},0,0,,7E0
[ET116] Enable Always On Air conditioner,AC perm,222092,{A:0},0,0,,7E0
[ET160] Relay Prev Command Preheating,Glow,22201A,{A:0},0,0,,7E0
[ET205] Control Relay Res. Syst. Cool. No. 1,T-1,22201D,{A:0},0,0,,7E0
[ET206] Control Relay Res. Syst. Cool. No. 2,T-2,22201D,{A:1},0,0,,7E0
[ET207] Control Relay Res. Syst. Cool. No. 3,T-3,22201D,{A:2},0,0,,7E0
[ET336] Horn Function Parameter Value Entry,input value param horn,222479,{A:0},0,0,,7E0
[ET405] Clutch Pedal Contact,ped clutch control,22222D,(A&7),0,0,,7E0
[ET413] QC/CL function,QC function,22204C,(A&7),0,0,,7E0
[ET521] Minimum Fuel Level Information,min ur fuel,22281B,{A:0},0,0,,7E0
[ET587] Cooling System Exhaust Gas Recirculation,syst ohl horn,22240F,{A:0},0,0,,7E0
[ET649] Water In Diesel Fuel Detector,water!,22FD70,{A:0},0,0,,7E0
[ET673] Det. Accelerator Pedal Locks,Accel blocker,222036,A,0,0,,7E0
[ET691] Engine Start Switch,Start Sw,222079,{A:0},0,0,,7E0
[ET702] Static Regeneration,St Regen,222434,(A&7),0,0,,7E0
[ET703] Cruise Control/Speed ​​Limiter Switch,off QC,22204B,(A&7),0,0,,7E0
[ET723] Displayed Vehicle Speed,disp speed,222226,{A:0},0,0,,7E0
[ET724] Multiplex. Vehicle Speed ​​Information,info speed,222225,{A:0},0,0,,7E0
[ET726] Engage Reverse,put the car in reverse,222079,{A:1},0,0,,7E0
[ET727] Connect Reg/Ogr Sc After Press Off Reg Sc,connect kk after reg speed,22203B,{A:0},0,0,,7E0
[ET728] Connect Reg/Ogr Sc After Press Off Ogr Sk,connect kk after ogre speed,22203E,{A:0},0,0,,7E0
[ET732] Manual Or Automatic. Parking Brake,parking,22222B,{A:0},0,0,,7E0
[ET755] Nate. Pos. Lever Switch Mechanic Cor. Per,neutral manual transmission,22222E,(A&3),0,0,,7E0
[ET756] Auto. Cor. Per. Works in reserve. Mode,Automatic bypass!,22204F,{A:6},0,0,,7E0
[ET757] Per Inf On Mule Network From Ped Clutch Move Dates,info on cartoon from clutch,222222,{A:0},0,0,,7E0
[ET759] Trans. Inf. According to Mul. Networks O Location Braking,brake detection,22200F,(A&15),0,0,,7E0
[ET760] First Engine Start,first engine start,222047,{A:0},0,0,,7E0
[ET764] Signal Sensor Start Move Ped Sc Via Prov Communication,start of travel of ped clutch,22222F,{A:0},0,0,,7E0
[ET767] Vehicle Speed ​​Unit,unit speed measurement,222051,{A:0},0,0,,7E0
[ET774] Boost Pressure Control,boost pressure reg,22241E,(A&31),0,0,,7E0
[ET775] Sync. Signal Vmt Dutch. Pos. Shaft distribution,sync signal tmt sensor camshaft position,222014,{A:0},0,0,,7E0
[ET785] Clutch Pedal Position Info Not Available,information about ped clutch is not available,22204F,{A:0},0,0,,7E0
[ET786] Clutch Pedal Position Info Missing,There is no information about ped clutch,22204F,{A:1},0,0,,7E0
[ET787] Brake Pedal Position Info Not Available,Ped brake information is not available,22204F,{A:2},0,0,,7E0
[ET788] Brake Pedal Position Info Missing,There is no information about ped brakes,22204F,{A:3},0,0,,7E0
[ET789] Decelerate Without Pressing Brake Pedal,auto stop,22204F,{A:4},0,0,,7E0
[ET790] Sharp Slowdown Without Pressing Ped Brake,fast stop,22204F,{A:5},0,0,,7E0
[ET791] Injection System Speed ​​Regulator Off,off QC injection system,22204F,{A:7},0,0,,7E0
[ET792] Injection System ECU Speed ​​Limit Off,off QC injection system,22204E,{A:5},0,0,,7E0
[ET793] Info. About Current Speed ​​Auto. Not available,info about tech abbr unavailable,22204E,{A:0},0,0,,7E0
[ET794] Info. About Display On Screen Speed Auto. Insufficient,speed display information is not available,22204E,{A:1},0,0,,7E0
